what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1311854373790
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1311854373790
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1311854373790
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1311854373790
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1311854373790
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1311854373791
started,bundle,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.ide",1311854373791
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1311854373791
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1311854373791
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1311854373791
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1311854373791
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1311854373791
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1311854373791
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1311854373791
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1311854373791
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.200.v201103170332,"org.eclipse.wst.common.project.facet.core",1311854373791
started,bundle,org.eclipse.wst.sse.core,1.1.600.v201105162116,"org.eclipse.wst.sse.core",1311854373792
started,bundle,org.eclipse.wst.web,1.1.500.v201104251400,"org.eclipse.wst.web",1311854373792
started,bundle,com.android.ide.eclipse.adt,12.0.0.v201106281929-138431,"com.android.ide.eclipse.adt",1311854373792
started,bundle,com.android.ide.eclipse.ddms,12.0.0.v201106281929-138431,"com.android.ide.eclipse.ddms",1311854373792
started,bundle,com.android.ide.eclipse.traceview,12.0.0.v201106281929-138431,"com.android.ide.eclipse.traceview",1311854373792
os,sysinfo,,,"linux",1311854373795
arch,sysinfo,,,"x86_64",1311854373795
ws,sysinfo,,,"gtk",1311854373795
locale,sysinfo,,,"en_US",1311854373795
processors,sysinfo,,,"4",1311854373795
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1311854373795
java.runtime.version,sysinfo,,,"1.6.0_26-b03",1311854373795
java.specification.name,sysinfo,,,"Java Platform API Specification",1311854373795
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1311854373795
java.specification.version,sysinfo,,,"1.6",1311854373795
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1311854373795
java.version,sysinfo,,,"1.6.0_26",1311854373795
java.vm.info,sysinfo,,,"mixed mode",1311854373795
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1311854373795
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1311854373795
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1311854373795
java.vm.specification.version,sysinfo,,,"1.0",1311854373795
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1311854373795
java.vm.version,sysinfo,,,"20.1-b02",1311854373795
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311854374962
opened,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.ProblemView",1311854375357
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1311854377195
started,bundle,org.eclipse.jpt.common.core,1.0.0.v201105180000,"org.eclipse.jpt.common.core",1311854395603
started,bundle,org.eclipse.jpt.jpa.core,3.0.0.v201105250001,"org.eclipse.jpt.jpa.core",1311854395604
